,name,flit,cycle,slowdown
0,resnet50_resnext50_32x4d_vgg16_wide_resnet50_2_1024,1024,4729100.0,7.693897074135776
3,resnet50_resnext50_32x4d_vgg16_wide_resnet50_2_1536,1536,4725665.0,7.688308582361516
1,resnet50_resnext50_32x4d_vgg16_wide_resnet50_2_2048,2048,4723660.0,7.6850465951686795
2,resnet50_resnext50_32x4d_vgg16_wide_resnet50_2_2560,2560,4724780.0,7.686868752603082
6,resnet50_resnext50_32x4d_vgg16_wide_resnet50_2_3072,3072,4723310.0,7.684477170970429
4,resnet50_resnext50_32x4d_vgg16_wide_resnet50_2_3584,3584,4722760.0,7.683582361516035
5,resnet50_resnext50_32x4d_vgg16_wide_resnet50_2_4096,4096,4723275.0,7.684420228550604
