,name,flit,cycle,slowdown
0,wide_resnet50_2_1024,1024,2435910.0,4.045609454719388
3,wide_resnet50_2_1536,1536,1737730.0,2.886057743409864
1,wide_resnet50_2_2048,2048,1445700.0,2.4010483099489797
2,wide_resnet50_2_2560,2560,1068660.0,1.774852519132653
6,wide_resnet50_2_3072,3072,1004220.0,1.6678292410714286
4,wide_resnet50_2_3584,3584,933850.0,1.5509572969812926
5,wide_resnet50_2_4096,4096,933850.0,1.5509572969812926
