24,58,1568.0,128.0,20
24,59,1568.0,128.0,20
59,50,1568.0,128.0,20
59,51,1568.0,128.0,20
51,35,4032.0,2304.0,20
51,43,4032.0,2304.0,20
43,34,1568.0,128.0,20
43,42,1568.0,128.0,20
42,33,1568.0,128.0,20
42,41,1568.0,128.0,20
41,32,4032.0,2304.0,20
41,40,4032.0,2304.0,20
40,48,1568.0,128.0,20
40,49,1568.0,128.0,20
49,56,1568.0,128.0,20
49,57,1568.0,128.0,20
32,0,896.0,512.0,20
32,1,896.0,512.0,20
32,8,896.0,512.0,20
32,9,896.0,512.0,20
32,16,896.0,512.0,20
32,17,896.0,512.0,20
32,18,896.0,512.0,20
27,2,64.0,128.0,20
27,3,64.0,128.0,20
27,4,64.0,128.0,20
27,5,64.0,128.0,20
27,6,64.0,128.0,20
27,7,64.0,128.0,20
27,10,64.0,128.0,20
27,11,64.0,128.0,20
15,20,1176.0,24.0,20
15,21,1176.0,24.0,20
15,22,1176.0,24.0,20
15,23,1176.0,24.0,20
15,28,1176.0,24.0,20
15,29,1176.0,24.0,20
15,30,1176.0,24.0,20
15,31,1176.0,24.0,20
15,36,1176.0,24.0,20
15,37,1176.0,24.0,20
15,44,1176.0,24.0,20
15,45,1176.0,24.0,20
45,38,896.0,512.0,20
45,39,896.0,512.0,20
45,46,896.0,512.0,20
45,47,896.0,512.0,20
45,52,896.0,512.0,20
45,53,896.0,512.0,20
45,54,896.0,512.0,20
24,58,1568.0,98.0,20
24,59,1568.0,98.0,20
59,50,1568.0,196.0,20
59,51,1568.0,196.0,20
51,35,16128.0,96.0,20
51,43,16128.0,96.0,20
43,34,1568.0,98.0,20
43,42,1568.0,98.0,20
42,33,1568.0,196.0,20
42,41,1568.0,196.0,20
41,32,16128.0,96.0,20
41,40,16128.0,96.0,20
40,48,1568.0,98.0,20
40,49,1568.0,98.0,20
49,56,1568.0,196.0,20
49,57,1568.0,196.0,20
32,0,7168.0,56.0,20
32,1,7168.0,56.0,20
32,8,7168.0,56.0,20
32,9,7168.0,56.0,20
32,16,7168.0,56.0,20
32,17,7168.0,56.0,20
32,18,7168.0,56.0,20
27,2,64.0,4,20
27,3,64.0,4,20
27,4,64.0,4,20
27,5,64.0,4,20
27,6,64.0,4,20
27,7,64.0,4,20
27,10,64.0,4,20
27,11,64.0,4,20
15,20,1176.0,28.0,20
15,21,1176.0,28.0,20
15,22,1176.0,28.0,20
15,23,1176.0,28.0,20
15,28,1176.0,28.0,20
15,29,1176.0,28.0,20
15,30,1176.0,28.0,20
15,31,1176.0,28.0,20
15,36,1176.0,28.0,20
15,37,1176.0,28.0,20
15,44,1176.0,28.0,20
15,45,1176.0,28.0,20
45,38,7168.0,56.0,20
45,39,7168.0,56.0,20
45,46,7168.0,56.0,20
45,47,7168.0,56.0,20
45,52,7168.0,56.0,20
45,53,7168.0,56.0,20
45,54,7168.0,56.0,20
58,24,6272.0,98.0,20
59,24,6272.0,98.0,20
50,59,1568.0,49.0,20
51,59,1568.0,49.0,20
35,51,4032.0,14.0,20
43,51,4032.0,14.0,20
34,43,6272.0,98.0,20
42,43,6272.0,98.0,20
33,42,1568.0,49.0,20
41,42,1568.0,49.0,20
32,41,4032.0,14.0,20
40,41,4032.0,14.0,20
48,40,6272.0,98.0,20
49,40,6272.0,98.0,20
56,49,1568.0,49.0,20
57,49,1568.0,49.0,20
0,32,896.0,14.0,20
1,32,896.0,14.0,20
8,32,896.0,14.0,20
9,32,896.0,14.0,20
16,32,896.0,14.0,20
17,32,896.0,14.0,20
18,32,896.0,14.0,20
2,27,64.0,8.0,20
3,27,64.0,8.0,20
4,27,64.0,8.0,20
5,27,64.0,8.0,20
6,27,64.0,8.0,20
7,27,64.0,8.0,20
10,27,64.0,8.0,20
11,27,64.0,8.0,20
20,15,1176.0,98.0,20
21,15,1176.0,98.0,20
22,15,1176.0,98.0,20
23,15,1176.0,98.0,20
28,15,1176.0,98.0,20
29,15,1176.0,98.0,20
30,15,1176.0,98.0,20
31,15,1176.0,98.0,20
36,15,1176.0,98.0,20
37,15,1176.0,98.0,20
44,15,1176.0,98.0,20
45,15,1176.0,98.0,20
38,45,896.0,14.0,20
39,45,896.0,14.0,20
46,45,896.0,14.0,20
47,45,896.0,14.0,20
52,45,896.0,14.0,20
53,45,896.0,14.0,20
54,45,896.0,14.0,20
