resnet50_layer44_4,resnet50_layer45_4,vgg16_layer1_5,vgg16_layer2_6
708.977224383917,673.0510520914305,720.2068169119017,745.5785833748929
643.4974017327718,600.7893253202549,645.6237861702938,706.5175132256345
606.9176556961121,569.2449661587655,593.4599201156966,673.5766621461444
582.7615766040236,550.539919406738,552.6331803721944,645.2963187347339
565.0966525490735,537.542014477155,519.2189179174951,620.6653053925329
551.2626236237044,527.593047549504,491.0189771633827,598.960181919047
539.8883291732916,519.4756328132253,466.68290250689125,579.6452952656273
530.1949231024339,,445.3238111400183,562.313145259513
521.7069620438042,,426.3285230262379,546.6473365987576
514.1175788862693,,409.25556197053254,532.3978651182379
507.21969293343227,,393.7767785169845,519.3641568661996
500.8683694576517,,379.6437487265175,507.38313613599985
494.959027228313,,366.6626742061395,496.3206467502335
489.4142195661199,,354.6788329519992,486.0651643384531
,,343.5666333006694,476.5231080903642
,,333.2226621755976,467.61529101396644
,,323.56070483631106,
,,314.50809900695043,
,,306.0030143710936,
,,297.99238780328244,
,,290.4303323314572,
,,283.27689433093093,
,,276.497070736473,
,,647.7033467322806,
,,595.6542608804307,
,,554.8676718405534,
,,521.4429510260612,
,,493.1943102713512,
,,468.7849939257041,
,,447.3394198687407,
,,428.25286286757307,
,,411.08997470644675,
