resnet50_layer44
[]
"[526.4489795918367, 526.4489795918367]"
"[526.4489795918367, 526.4489795918367, 526.4489795918367, 526.4489795918367]"
"[526.4489795918367, 526.4489795918367, 526.4489795918367, 526.4489795918367, 526.4489795918367, 526.4489795918367, 526.4489795918367, 526.4489795918367]"
"[81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714, 81.14285714285714]"
"[85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714, 85.14285714285714]"
"[93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714, 93.14285714285714]"
"[109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714, 109.14285714285714]"
"[141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714, 141.14285714285714]"
"[205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714, 205.14285714285714]"
