,layer,src,dst,interval,flit,counts,datatype,delay,map_src,map_dst,captain,tree,epfl,intermediate,path,count,id,issue_time
191,unet_layer10,[155],[187],3072,3,128,output,3072.0,[155],[187],,[],,[],[],1,191,3085.0
192,unet_layer10,[170],[187],3072,3,128,output,3072.0,[170],[187],,[],,[],[],1,192,3072.0
193,unet_layer10,[171],[187],3072,3,128,output,3072.0,[171],[187],,[],,[212],[],1,193,3072.0
194,unet_layer10,[185],[138],192,6,2048,input,,[185],[138],,[],,[],[],1,194,192.0
195,unet_layer10,[185],[139],192,6,2048,input,,[185],[139],,[],,[],[],1,195,192.0
196,unet_layer10,[185],[170],192,6,2048,input,,[185],[170],,[],,[],[],1,196,192.0
197,unet_layer10,[185],[171],192,6,2048,input,,[185],[171],,[],,[],[],1,197,192.0
202,unet_layer11,[140],[159],3072,3,256,output,3072.0,[140],[159],,[],,[],[],1,202,3072.0
203,unet_layer11,[141],[159],3072,3,256,output,3072.0,[141],[159],,[],,[],[],1,203,3079.0
204,unet_layer11,[142],[159],3072,3,256,output,3072.0,[142],[159],,[],,[],[],1,204,3072.0
205,unet_layer11,[143],[159],3072,3,256,output,3072.0,[143],[159],,[],,[],[],1,205,3072.0
206,unet_layer11,[156],[159],3072,3,256,output,3072.0,[156],[159],,[],,[],[],1,206,3072.0
207,unet_layer11,[157],[159],3072,3,256,output,3072.0,[157],[159],,[],,[],[],1,207,3072.0
208,unet_layer11,[187],[140],96,3,8192,input,,[187],[140],,[],,"[91, 170]",[],1,208,96.0
209,unet_layer11,[187],[141],96,3,8192,input,,[187],[141],,[],,[],[],1,209,96.0
210,unet_layer11,[187],[156],96,3,8192,input,,[187],[156],,[],,[],[],1,210,100.0
211,unet_layer11,[187],[157],96,3,8192,input,,[187],[157],,[],,[],[],1,211,96.0
218,unet_layer12,[172],[191],9216,3,64,output,9216.0,[172],[191],,[],,[],[],1,218,9216.0
219,unet_layer12,[173],[191],9216,3,64,output,9216.0,[173],[191],,[],,[],[],1,219,9216.0
220,unet_layer12,[174],[191],9216,3,64,output,9216.0,[174],[191],,[],,[],[],1,220,9216.0
221,unet_layer12,[175],[191],9216,3,64,output,9216.0,[175],[191],,[],,[],[],1,221,9216.0
222,unet_layer12,[188],[191],9216,3,64,output,9216.0,[188],[191],,[],,[],[],1,222,9225.0
223,unet_layer12,[189],[191],9216,3,64,output,9216.0,[189],[191],,[],,[],[],1,223,9220.0
224,unet_layer12,[190],[191],9216,3,64,output,9216.0,[190],[191],,[],,[],[],1,224,9216.0
226,unet_layer12,[172],[159],9216,3,64,output,,[172],[159],,[],,[],[],1,226,9216.0
227,unet_layer12,[173],[159],9216,3,64,output,,[173],[159],,[],,[],[],1,227,9267.0
228,unet_layer12,[174],[159],9216,3,64,output,,[174],[159],,[],,[],[],1,228,9216.0
229,unet_layer12,[175],[159],9216,3,64,output,,[175],[159],,[],,"[38, 196]",[],1,229,9221.0
230,unet_layer12,[188],[159],9216,3,64,output,,[188],[159],,[],,"[150, 142]",[],1,230,9216.0
231,unet_layer12,[189],[159],9216,3,64,output,,[189],[159],,[],,[],[],1,231,9216.0
232,unet_layer12,[190],[159],9216,3,64,output,,[190],[159],,[],,[],[],1,232,9216.0
244,unet_layer13,[191],[204],9216,8,128,input,,[191],[204],,[],,[218],[],1,244,9216.0
245,unet_layer13,[191],[205],9216,8,128,input,,[191],[205],,[],,[147],[],1,245,9216.0
246,unet_layer13,[191],[206],9216,8,128,input,,[191],[206],,[],,[],[],1,246,9225.0
247,unet_layer13,[191],[207],9216,8,128,input,,[191],[207],,[],,[],[],1,247,9216.0
248,unet_layer13,[191],[220],9216,8,128,input,,[191],[220],,[],,[],[],1,248,9216.0
249,unet_layer13,[191],[221],9216,8,128,input,,[191],[221],,[],,[],[],1,249,9216.0
250,unet_layer13,[191],[222],9216,8,128,input,,[191],[222],,[],,[],[],1,250,9216.0
252,unet_layer14,[236],[255],1152,5,1024,output,1152.0,[236],[255],,[],,[],[],1,252,1152.0
253,unet_layer14,[237],[255],1152,5,1024,output,1152.0,[237],[255],,[],,[],[],1,253,1152.0
254,unet_layer14,[238],[255],1152,5,1024,output,1152.0,[238],[255],,[],,[],[],1,254,1152.0
255,unet_layer14,[239],[255],1152,5,1024,output,1152.0,[239],[255],,[],,[],[],1,255,1152.0
256,unet_layer14,[252],[255],1152,5,1024,output,1152.0,[252],[255],,[],,[],[],1,256,1152.0
257,unet_layer14,[253],[255],1152,5,1024,output,1152.0,[253],[255],,[],,[],[],1,257,1152.0
258,unet_layer14,[254],[255],1152,5,1024,output,1152.0,[254],[255],,[],,[],[],1,258,1152.0
260,unet_layer14,[143],[236],1152,7,1024,weight,,[143],[236],,[],,[],[],1,260,1159.0
261,unet_layer14,[143],[237],1152,7,1024,weight,,[143],[237],,[],,[],[],1,261,1158.0
262,unet_layer14,[143],[238],1152,7,1024,weight,,[143],[238],,[],,[],[],1,262,1157.0
263,unet_layer14,[143],[239],1152,7,1024,weight,,[143],[239],,[],,[],[],1,263,1152.0
264,unet_layer14,[143],[252],1152,7,1024,weight,,[143],[252],,[],,[],[],1,264,1181.0
265,unet_layer14,[143],[253],1152,7,1024,weight,,[143],[253],,[],,[],[],1,265,1152.0
266,unet_layer14,[143],[254],1152,7,1024,weight,,[143],[254],,[],,[],[],1,266,1152.0
268,unet_layer14,[223],[236],1152,5,1024,input,,[223],[236],,[],,[89],[],1,268,1152.0
269,unet_layer14,[223],[237],1152,5,1024,input,,[223],[237],,[],,[],[],1,269,1159.0
270,unet_layer14,[223],[238],1152,5,1024,input,,[223],[238],,[],,[],[],1,270,1152.0
271,unet_layer14,[223],[239],1152,5,1024,input,,[223],[239],,[],,[],[],1,271,1152.0
272,unet_layer14,[223],[252],1152,5,1024,input,,[223],[252],,[],,[],[],1,272,1152.0
273,unet_layer14,[223],[253],1152,5,1024,input,,[223],[253],,[],,[],[],1,273,1152.0
274,unet_layer14,[223],[254],1152,5,1024,input,,[223],[254],,[],,[],[],1,274,1152.0
282,unet_layer15,[202],[251],1152,2,2048,output,1152.0,[202],[251],,[],,[],[],1,282,1152.0
283,unet_layer15,[203],[251],1152,2,2048,output,1152.0,[203],[251],,[],,[],[],1,283,1152.0
284,unet_layer15,[218],[251],1152,2,2048,output,1152.0,[218],[251],,[],,[],[],1,284,1158.0
285,unet_layer15,[219],[251],1152,2,2048,output,1152.0,[219],[251],,[],,[],[],1,285,1152.0
286,unet_layer15,[234],[251],1152,2,2048,output,1152.0,[234],[251],,[],,[],[],1,286,1156.0
287,unet_layer15,[235],[251],1152,2,2048,output,1152.0,[235],[251],,[],,[],[],1,287,1160.0
288,unet_layer15,[250],[251],1152,2,2048,output,1152.0,[250],[251],,[],,"[191, 157]",[],1,288,1163.0
290,unet_layer15,[202],[255],1152,2,2048,output,,[202],[255],,[],,[],[],1,290,1152.0
291,unet_layer15,[203],[255],1152,2,2048,output,,[203],[255],,[],,[],[],1,291,1152.0
292,unet_layer15,[218],[255],1152,2,2048,output,,[218],[255],,[],,[],[],1,292,1152.0
293,unet_layer15,[219],[255],1152,2,2048,output,,[219],[255],,[],,[],[],1,293,1161.0
294,unet_layer15,[234],[255],1152,2,2048,output,,[234],[255],,[],,[],[],1,294,1169.0
295,unet_layer15,[235],[255],1152,2,2048,output,,[235],[255],,[],,[],[],1,295,1177.0
296,unet_layer15,[250],[255],1152,2,2048,output,,[250],[255],,[],,[],[],1,296,1152.0
304,unet_layer16,[200],[143],36864,33,16,output,36864.0,[200],[143],,[],,[],[],1,304,36907.0
305,unet_layer16,[201],[143],36864,33,16,output,36864.0,[201],[143],,[],,[],[],1,305,36864.0
306,unet_layer16,[216],[143],36864,33,16,output,36864.0,[216],[143],,[],,[119],[],1,306,36864.0
307,unet_layer16,[217],[143],36864,33,16,output,36864.0,[217],[143],,[],,[],[],1,307,36864.0
308,unet_layer16,[232],[143],36864,33,16,output,36864.0,[232],[143],,[],,[],[],1,308,36900.0
309,unet_layer16,[233],[143],36864,33,16,output,36864.0,[233],[143],,[],,[],[],1,309,36864.0
310,unet_layer16,[248],[143],36864,33,16,output,36864.0,[248],[143],,[],,[],[],1,310,36864.0
312,unet_layer16,[200],[251],36864,33,16,output,,[200],[251],,[],,[],[],1,312,36864.0
313,unet_layer16,[201],[251],36864,33,16,output,,[201],[251],,[],,[],[],1,313,36864.0
314,unet_layer16,[216],[251],36864,33,16,output,,[216],[251],,[],,[],[],1,314,36901.0
315,unet_layer16,[217],[251],36864,33,16,output,,[217],[251],,[],,[],[],1,315,36864.0
316,unet_layer16,[232],[251],36864,33,16,output,,[232],[251],,[],,[],[],1,316,36864.0
317,unet_layer16,[233],[251],36864,33,16,output,,[233],[251],,[],,[],[],1,317,36936.0
318,unet_layer16,[248],[251],36864,33,16,output,,[248],[251],,[],,[],[],1,318,36864.0
321,vgg16_layer1,[0],[51],4608,33,32,output,4608.0,[0],[51],,[],,[],[],1,321,4608.0
322,vgg16_layer1,[1],[51],4608,33,32,output,4608.0,[1],[51],,[],,[39],[],1,322,4608.0
323,vgg16_layer1,[2],[51],4608,33,32,output,4608.0,[2],[51],,[],,[],[],1,323,4608.0
324,vgg16_layer1,[3],[51],4608,33,32,output,4608.0,[3],[51],,[],,"[2, 183]",[],1,324,4629.0
325,vgg16_layer1,[16],[51],4608,33,32,output,4608.0,[16],[51],,[],,[],[],1,325,4608.0
326,vgg16_layer1,[17],[51],4608,33,32,output,4608.0,[17],[51],,[],,[],[],1,326,4608.0
327,vgg16_layer1,[18],[51],4608,33,32,output,4608.0,[18],[51],,[],,[177],[],1,327,4608.0
328,vgg16_layer1,[19],[51],4608,33,32,output,4608.0,[19],[51],,[],,[],[],1,328,4608.0
329,vgg16_layer1,[32],[51],4608,33,32,output,4608.0,[32],[51],,[],,[],[],1,329,4608.0
330,vgg16_layer1,[33],[51],4608,33,32,output,4608.0,[33],[51],,[],,[],[],1,330,4643.0
331,vgg16_layer1,[34],[51],4608,33,32,output,4608.0,[34],[51],,[],,[115],[],1,331,4629.0
332,vgg16_layer1,[35],[51],4608,33,32,output,4608.0,[35],[51],,[],,[95],[],1,332,4629.0
333,vgg16_layer1,[48],[51],4608,33,32,output,4608.0,[48],[51],,[],,[],[],1,333,4608.0
334,vgg16_layer1,[49],[51],4608,33,32,output,4608.0,[49],[51],,[],,[],[],1,334,4608.0
335,vgg16_layer1,[50],[51],4608,33,32,output,4608.0,[50],[51],,[],,[],[],1,335,4608.0
337,vgg16_layer1,[143],[0],4608,4,32,input,,[143],[0],,[],,[],[],1,337,4624.0
338,vgg16_layer1,[143],[1],4608,4,32,input,,[143],[1],,[],,[],[],1,338,4608.0
339,vgg16_layer1,[143],[2],4608,4,32,input,,[143],[2],,[],,[131],[],1,339,4641.0
340,vgg16_layer1,[143],[3],4608,4,32,input,,[143],[3],,[],,[],[],1,340,4662.0
341,vgg16_layer1,[143],[16],4608,4,32,input,,[143],[16],,[],,[138],[],1,341,4608.0
342,vgg16_layer1,[143],[17],4608,4,32,input,,[143],[17],,[],,[],[],1,342,4608.0
343,vgg16_layer1,[143],[18],4608,4,32,input,,[143],[18],,[],,[],[],1,343,4608.0
344,vgg16_layer1,[143],[19],4608,4,32,input,,[143],[19],,[],,[56],[],1,344,4608.0
345,vgg16_layer1,[143],[32],4608,4,32,input,,[143],[32],,[],,[],[],1,345,4643.0
346,vgg16_layer1,[143],[33],4608,4,32,input,,[143],[33],,[],,[],[],1,346,4648.0
347,vgg16_layer1,[143],[34],4608,4,32,input,,[143],[34],,[],,[133],[],1,347,4630.0
348,vgg16_layer1,[143],[35],4608,4,32,input,,[143],[35],,[],,[],[],1,348,4608.0
349,vgg16_layer1,[143],[48],4608,4,32,input,,[143],[48],,[],,[],[],1,349,4608.0
350,vgg16_layer1,[143],[49],4608,4,32,input,,[143],[49],,[],,[],[],1,350,4658.0
351,vgg16_layer1,[143],[50],4608,4,32,input,,[143],[50],,[],,[],[],1,351,4608.0
353,vgg16_layer1,[0],[143],4608,33,32,output,,[0],[143],,[],,[],[],1,353,4663.0
354,vgg16_layer1,[1],[143],4608,33,32,output,,[1],[143],,[],,[39],[],1,354,4608.0
355,vgg16_layer1,[2],[143],4608,33,32,output,,[2],[143],,[],,[],[],1,355,4608.0
356,vgg16_layer1,[3],[143],4608,33,32,output,,[3],[143],,[],,[],[],1,356,4614.0
357,vgg16_layer1,[16],[143],4608,33,32,output,,[16],[143],,[],,[94],[],1,357,4713.0
358,vgg16_layer1,[17],[143],4608,33,32,output,,[17],[143],,[],,[53],[],1,358,4608.0
359,vgg16_layer1,[18],[143],4608,33,32,output,,[18],[143],,[],,[],[],1,359,4608.0
360,vgg16_layer1,[19],[143],4608,33,32,output,,[19],[143],,[],,[],[],1,360,4661.0
361,vgg16_layer1,[32],[143],4608,33,32,output,,[32],[143],,[],,[],[],1,361,4608.0
362,vgg16_layer1,[33],[143],4608,33,32,output,,[33],[143],,[],,[],[],1,362,4768.0
363,vgg16_layer1,[34],[143],4608,33,32,output,,[34],[143],,[],,[],[],1,363,4661.0
364,vgg16_layer1,[35],[143],4608,33,32,output,,[35],[143],,[],,[],[],1,364,4661.0
365,vgg16_layer1,[48],[143],4608,33,32,output,,[48],[143],,[],,[125],[],1,365,4608.0
366,vgg16_layer1,[49],[143],4608,33,32,output,,[49],[143],,[],,[],[],1,366,4608.0
367,vgg16_layer1,[50],[143],4608,33,32,output,,[50],[143],,[],,[],[],1,367,4608.0
379,vgg16_layer2,[64],[115],576,2,1024,output,576.0,[64],[115],,[],,[],[],1,379,576.0
380,vgg16_layer2,[65],[115],576,2,1024,output,576.0,[65],[115],,[],,[],[],1,380,584.0
381,vgg16_layer2,[66],[115],576,2,1024,output,576.0,[66],[115],,[],,[],[],1,381,576.0
382,vgg16_layer2,[67],[115],576,2,1024,output,576.0,[67],[115],,[],,[],[],1,382,604.0
383,vgg16_layer2,[80],[115],576,2,1024,output,576.0,[80],[115],,[],,[],[],1,383,587.0
384,vgg16_layer2,[81],[115],576,2,1024,output,576.0,[81],[115],,[],,[],[],1,384,591.0
385,vgg16_layer2,[82],[115],576,2,1024,output,576.0,[82],[115],,[],,[],[],1,385,582.0
386,vgg16_layer2,[83],[115],576,2,1024,output,576.0,[83],[115],,[],,[],[],1,386,597.0
387,vgg16_layer2,[96],[115],576,2,1024,output,576.0,[96],[115],,[],,[],[],1,387,576.0
388,vgg16_layer2,[97],[115],576,2,1024,output,576.0,[97],[115],,[],,[],[],1,388,582.0
389,vgg16_layer2,[98],[115],576,2,1024,output,576.0,[98],[115],,[],,[],[],1,389,581.0
390,vgg16_layer2,[99],[115],576,2,1024,output,576.0,[99],[115],,[],,[],[],1,390,601.0
391,vgg16_layer2,[112],[115],576,2,1024,output,576.0,[112],[115],,[],,[168],[],1,391,576.0
392,vgg16_layer2,[113],[115],576,2,1024,output,576.0,[113],[115],,[],,[],[],1,392,576.0
393,vgg16_layer2,[114],[115],576,2,1024,output,576.0,[114],[115],,[],,[],[],1,393,576.0
395,vgg16_layer2,[64],[51],576,2,1024,output,,[64],[51],,[],,[215],[],1,395,581.0
396,vgg16_layer2,[65],[51],576,2,1024,output,,[65],[51],,[],,[],[],1,396,580.0
397,vgg16_layer2,[66],[51],576,2,1024,output,,[66],[51],,[],,[],[],1,397,588.0
398,vgg16_layer2,[67],[51],576,2,1024,output,,[67],[51],,[],,[],[],1,398,582.0
399,vgg16_layer2,[80],[51],576,2,1024,output,,[80],[51],,[],,[],[],1,399,576.0
400,vgg16_layer2,[81],[51],576,2,1024,output,,[81],[51],,[],,[],[],1,400,576.0
401,vgg16_layer2,[82],[51],576,2,1024,output,,[82],[51],,[],,[],[],1,401,576.0
402,vgg16_layer2,[83],[51],576,2,1024,output,,[83],[51],,[],,[],[],1,402,576.0
403,vgg16_layer2,[96],[51],576,2,1024,output,,[96],[51],,[],,[],[],1,403,576.0
404,vgg16_layer2,[97],[51],576,2,1024,output,,[97],[51],,[],,[],[],1,404,576.0
405,vgg16_layer2,[98],[51],576,2,1024,output,,[98],[51],,[],,[39],[],1,405,581.0
406,vgg16_layer2,[99],[51],576,2,1024,output,,[99],[51],,[],,[],[],1,406,583.0
407,vgg16_layer2,[112],[51],576,2,1024,output,,[112],[51],,[],,[178],[],1,407,576.0
408,vgg16_layer2,[113],[51],576,2,1024,output,,[113],[51],,[],,[],[],1,408,576.0
409,vgg16_layer2,[114],[51],576,2,1024,output,,[114],[51],,[],,[],[],1,409,581.0
414,vgg16_layer3,[68],[119],12288,33,64,output,12288.0,[68],[119],,[],,[],[],1,414,12578.0
415,vgg16_layer3,[69],[119],12288,33,64,output,12288.0,[69],[119],,[],,[],[],1,415,12540.0
416,vgg16_layer3,[70],[119],12288,33,64,output,12288.0,[70],[119],,[],,[],[],1,416,12288.0
417,vgg16_layer3,[71],[119],12288,33,64,output,12288.0,[71],[119],,[],,[],[],1,417,12466.0
418,vgg16_layer3,[84],[119],12288,33,64,output,12288.0,[84],[119],,[],,[],[],1,418,12502.0
419,vgg16_layer3,[85],[119],12288,33,64,output,12288.0,[85],[119],,[],,[],[],1,419,12429.0
420,vgg16_layer3,[86],[119],12288,33,64,output,12288.0,[86],[119],,[],,[],[],1,420,12288.0
421,vgg16_layer3,[87],[119],12288,33,64,output,12288.0,[87],[119],,[],,[],[],1,421,12359.0
422,vgg16_layer3,[100],[119],12288,33,64,output,12288.0,[100],[119],,[],,[207],[],1,422,12344.0
423,vgg16_layer3,[101],[119],12288,33,64,output,12288.0,[101],[119],,[],,[159],[],1,423,12288.0
424,vgg16_layer3,[102],[119],12288,33,64,output,12288.0,[102],[119],,[],,[],[],1,424,12394.0
425,vgg16_layer3,[103],[119],12288,33,64,output,12288.0,[103],[119],,[],,[],[],1,425,12325.0
426,vgg16_layer3,[115],[68],6144,12,128,input,,[115],[68],,[],,[101],[],1,426,6212.0
427,vgg16_layer3,[115],[69],6144,12,128,input,,[115],[69],,[],,[251],[],1,427,6144.0
428,vgg16_layer3,[115],[70],6144,12,128,input,,[115],[70],,[],,[],[],1,428,6258.0
429,vgg16_layer3,[115],[71],6144,12,128,input,,[115],[71],,[],,[],[],1,429,6226.0
430,vgg16_layer3,[115],[84],6144,12,128,input,,[115],[84],,[],,[],[],1,430,6144.0
431,vgg16_layer3,[115],[85],6144,12,128,input,,[115],[85],,[],,[],[],1,431,6157.0
432,vgg16_layer3,[115],[86],6144,12,128,input,,[115],[86],,[],,[],[],1,432,6241.0
433,vgg16_layer3,[115],[87],6144,12,128,input,,[115],[87],,[],,[],[],1,433,6183.0
434,vgg16_layer3,[115],[100],6144,12,128,input,,[115],[100],,[],,[],[],1,434,6170.0
435,vgg16_layer3,[115],[101],6144,12,128,input,,[115],[101],,[],,[],[],1,435,6197.0
436,vgg16_layer3,[115],[102],6144,12,128,input,,[115],[102],,[],,[],[],1,436,6211.0
437,vgg16_layer3,[115],[103],6144,12,128,input,,[115],[103],,[],,[],[],1,437,6144.0
448,vgg16_layer4,[4],[248],4608,3,256,output,4608.0,[4],[248],,[],,[2],[],1,448,4608.0
449,vgg16_layer4,[5],[248],4608,3,256,output,4608.0,[5],[248],,[],,[],[],1,449,4704.0
450,vgg16_layer4,[6],[248],4608,3,256,output,4608.0,[6],[248],,[],,[],[],1,450,4630.0
451,vgg16_layer4,[7],[248],4608,3,256,output,4608.0,[7],[248],,[],,[],[],1,451,4629.0
452,vgg16_layer4,[20],[248],4608,3,256,output,4608.0,[20],[248],,[],,[],[],1,452,4608.0
453,vgg16_layer4,[21],[248],4608,3,256,output,4608.0,[21],[248],,[],,[],[],1,453,4627.0
454,vgg16_layer4,[22],[248],4608,3,256,output,4608.0,[22],[248],,[],,[120],[],1,454,4608.0
455,vgg16_layer4,[23],[248],4608,3,256,output,4608.0,[23],[248],,[],,[],[],1,455,4634.0
456,vgg16_layer4,[36],[248],4608,3,256,output,4608.0,[36],[248],,[],,[],[],1,456,4626.0
457,vgg16_layer4,[37],[248],4608,3,256,output,4608.0,[37],[248],,[],,[244],[],1,457,4608.0
458,vgg16_layer4,[38],[248],4608,3,256,output,4608.0,[38],[248],,[],,[],[],1,458,4608.0
459,vgg16_layer4,[39],[248],4608,3,256,output,4608.0,[39],[248],,[],,[],[],1,459,4648.0
460,vgg16_layer4,[52],[248],4608,3,256,output,4608.0,[52],[248],,[],,[],[],1,460,4608.0
461,vgg16_layer4,[53],[248],4608,3,256,output,4608.0,[53],[248],,[],,[],[],1,461,4629.0
462,vgg16_layer4,[54],[248],4608,3,256,output,4608.0,[54],[248],,[],,[],[],1,462,4608.0
464,vgg16_layer4,[4],[119],4608,3,256,output,,[4],[119],,[],,[],[],1,464,4608.0
465,vgg16_layer4,[5],[119],4608,3,256,output,,[5],[119],,[],,[],[],1,465,4608.0
466,vgg16_layer4,[6],[119],4608,3,256,output,,[6],[119],,[],,[],[],1,466,4626.0
467,vgg16_layer4,[7],[119],4608,3,256,output,,[7],[119],,[],,[],[],1,467,4608.0
468,vgg16_layer4,[20],[119],4608,3,256,output,,[20],[119],,[],,[],[],1,468,4649.0
469,vgg16_layer4,[21],[119],4608,3,256,output,,[21],[119],,[],,[],[],1,469,4661.0
470,vgg16_layer4,[22],[119],4608,3,256,output,,[22],[119],,[],,[],[],1,470,4646.0
471,vgg16_layer4,[23],[119],4608,3,256,output,,[23],[119],,[],,[],[],1,471,4670.0
472,vgg16_layer4,[36],[119],4608,3,256,output,,[36],[119],,[],,[],[],1,472,4608.0
473,vgg16_layer4,[37],[119],4608,3,256,output,,[37],[119],,[],,[],[],1,473,4616.0
474,vgg16_layer4,[38],[119],4608,3,256,output,,[38],[119],,[],,[],[],1,474,4637.0
475,vgg16_layer4,[39],[119],4608,3,256,output,,[39],[119],,[],,[],[],1,475,4679.0
476,vgg16_layer4,[52],[119],4608,3,256,output,,[52],[119],,[],,[],[],1,476,4608.0
477,vgg16_layer4,[53],[119],4608,3,256,output,,[53],[119],,[],,[],[],1,477,4661.0
478,vgg16_layer4,[54],[119],4608,3,256,output,,[54],[119],,[],,[],[],1,478,4608.0
483,mnasnet_layer1,[228],[247],2688,57,14,output,2688.0,[228],[247],,[],,[],[],1,483,2746.0
484,mnasnet_layer1,[229],[247],2688,57,14,output,2688.0,[229],[247],,[],,[],[],1,484,2769.0
485,mnasnet_layer1,[230],[247],2688,57,14,output,2688.0,[230],[247],,[],,[106],[],1,485,2688.0
486,mnasnet_layer1,[231],[247],2688,57,14,output,2688.0,[231],[247],,[],,[],[],1,486,2688.0
487,mnasnet_layer1,[244],[247],2688,57,14,output,2688.0,[244],[247],,[],,[],[],1,487,2747.0
488,mnasnet_layer1,[245],[247],2688,57,14,output,2688.0,[245],[247],,[],,[],[],1,488,2688.0
489,mnasnet_layer1,[247],[228],2688,21,14,input,,[247],[228],,[],,[],[],1,489,2745.0
490,mnasnet_layer1,[247],[229],2688,21,14,input,,[247],[229],,[],,[],[],1,490,2722.0
491,mnasnet_layer1,[247],[230],2688,21,14,input,,[247],[230],,[],,[177],[],1,491,2688.0
492,mnasnet_layer1,[247],[231],2688,21,14,input,,[247],[231],,[],,[],[],1,492,2688.0
493,mnasnet_layer1,[247],[244],2688,21,14,input,,[247],[244],,[],,[],[],1,493,2699.0
494,mnasnet_layer1,[247],[245],2688,21,14,input,,[247],[245],,[],,[104],[],1,494,2688.0
497,mnasnet_layer2,[196],[215],3528,25,8,output,3528.0,[196],[215],,[],,[],[],1,497,3554.0
498,mnasnet_layer2,[197],[215],3528,25,8,output,3528.0,[197],[215],,[],,[195],[],1,498,3583.0
499,mnasnet_layer2,[198],[215],3528,25,8,output,3528.0,[198],[215],,[],,[],[],1,499,3528.0
500,mnasnet_layer2,[199],[215],3528,25,8,output,3528.0,[199],[215],,[],,[],[],1,500,3528.0
501,mnasnet_layer2,[212],[215],3528,25,8,output,3528.0,[212],[215],,[],,[],[],1,501,3528.0
502,mnasnet_layer2,[213],[215],3528,25,8,output,3528.0,[213],[215],,[],,[],[],1,502,3583.0
503,mnasnet_layer2,[214],[215],3528,25,8,output,3528.0,[214],[215],,[],,[],[],1,503,3610.0
505,mnasnet_layer2,[247],[196],3528,32,8,input,,[247],[196],,[],,[],[],1,505,3528.0
506,mnasnet_layer2,[247],[197],3528,32,8,input,,[247],[197],,[],,[165],[],1,506,3528.0
507,mnasnet_layer2,[247],[198],3528,32,8,input,,[247],[198],,[],,[],[],1,507,3561.0
508,mnasnet_layer2,[247],[199],3528,32,8,input,,[247],[199],,[],,[100],[],1,508,3528.0
509,mnasnet_layer2,[247],[212],3528,32,8,input,,[247],[212],,[],,[],[],1,509,3528.0
510,mnasnet_layer2,[247],[213],3528,32,8,input,,[247],[213],,[],,[88],[],1,510,3528.0
511,mnasnet_layer2,[247],[214],3528,32,8,input,,[247],[214],,[],,[],[],1,511,3528.0
513,mnasnet_layer2,[196],[247],3528,25,8,output,,[196],[247],,[],,[],[],1,513,3528.0
514,mnasnet_layer2,[197],[247],3528,25,8,output,,[197],[247],,[],,[],[],1,514,3528.0
515,mnasnet_layer2,[198],[247],3528,25,8,output,,[198],[247],,[],,[],[],1,515,3643.0
516,mnasnet_layer2,[199],[247],3528,25,8,output,,[199],[247],,[],,[],[],1,516,3615.0
517,mnasnet_layer2,[212],[247],3528,25,8,output,,[212],[247],,[],,[],[],1,517,3528.0
518,mnasnet_layer2,[213],[247],3528,25,8,output,,[213],[247],,[],,[],[],1,518,3556.0
519,mnasnet_layer2,[214],[247],3528,25,8,output,,[214],[247],,[],,[],[],1,519,3528.0
522,mnasnet_layer3,[134],[183],224,8,14,output,224.0,[134],[183],,[],,[],[],1,522,224.0
523,mnasnet_layer3,[135],[183],224,8,14,output,224.0,[135],[183],,[],,[],[],1,523,224.0
524,mnasnet_layer3,[150],[183],224,8,14,output,224.0,[150],[183],,[],,[],[],1,524,224.0
525,mnasnet_layer3,[151],[183],224,8,14,output,224.0,[151],[183],,[],,[],[],1,525,234.0
526,mnasnet_layer3,[166],[183],224,8,14,output,224.0,[166],[183],,[],,[],[],1,526,224.0
527,mnasnet_layer3,[167],[183],224,8,14,output,224.0,[167],[183],,[],,[],[],1,527,224.0
528,mnasnet_layer3,[182],[183],224,8,14,output,224.0,[182],[183],,[],,[],[],1,528,224.0
530,mnasnet_layer3,[215],[134],112,9,28,input,,[215],[134],,[],,[],[],1,530,112.0
531,mnasnet_layer3,[215],[135],112,9,28,input,,[215],[135],,[],,[],[],1,531,112.0
532,mnasnet_layer3,[215],[150],112,9,28,input,,[215],[150],,[],,[],[],1,532,112.0
533,mnasnet_layer3,[215],[151],112,9,28,input,,[215],[151],,[],,[78],[],1,533,112.0
534,mnasnet_layer3,[215],[166],112,9,28,input,,[215],[166],,[],,[],[],1,534,112.0
535,mnasnet_layer3,[215],[167],112,9,28,input,,[215],[167],,[],,[],[],1,535,112.0
536,mnasnet_layer3,[215],[182],112,9,28,input,,[215],[182],,[],,[],[],1,536,124.0
538,mnasnet_layer3,[134],[215],224,8,14,output,,[134],[215],,[],,[],[],1,538,235.0
539,mnasnet_layer3,[135],[215],224,8,14,output,,[135],[215],,[],,[218],[],1,539,224.0
540,mnasnet_layer3,[150],[215],224,8,14,output,,[150],[215],,[],,[],[],1,540,249.0
541,mnasnet_layer3,[151],[215],224,8,14,output,,[151],[215],,[],,[],[],1,541,224.0
542,mnasnet_layer3,[166],[215],224,8,14,output,,[166],[215],,[],,[],[],1,542,224.0
543,mnasnet_layer3,[167],[215],224,8,14,output,,[167],[215],,[],,[218],[],1,543,224.0
544,mnasnet_layer3,[182],[215],224,8,14,output,,[182],[215],,[],,[],[],1,544,224.0
548,mnasnet_layer4,[132],[128],224,15,56,output,224.0,[132],[128],,[],,[],[],1,548,224.0
