,layer,src,dst,interval,flit,counts,datatype,delay,map_src,map_dst,captain,tree,epfl,intermediate,path,count,id,issue_time
201,unet_layer11,[187],"[142, 143]",96,3,8192,input,,[187],"[142, 143]",142,"[[142, 5], [142, 1], [143, 1]]",1,[],[],1,201,104.0
212,unet_layer12,[8],"[172, 174, 188, 190]",1152,39,512,weight,,[8],"[172, 174, 188, 190]",172,"[[172, 3], [172, 5], [172, 1], [188, 5], [188, 1], [173, 5], [173, 1], [189, 5], [189, 1], [174, 1], [190, 1]]",3,[],[],1,212,1152.0
214,unet_layer12,[159],"[172, 173]",1152,6,512,input,,[159],"[172, 173]",172,"[[172, 5], [172, 1], [173, 1]]",1,[],[],1,214,1159.0
215,unet_layer12,[159],"[174, 175]",1152,6,512,input,,[159],"[174, 175]",174,"[[174, 5], [174, 1], [175, 1]]",1,[],[],1,215,1152.0
216,unet_layer12,[159],"[188, 189]",1152,6,512,input,,[159],"[188, 189]",188,"[[188, 5], [188, 1], [189, 1]]",1,[47],[],1,216,1152.0
234,unet_layer13,[248],"[204, 206, 220, 222]",9216,75,128,weight,,[248],"[204, 206, 220, 222]",204,"[[204, 3], [204, 5], [204, 1], [220, 5], [220, 1], [205, 5], [205, 1], [221, 5], [221, 1], [206, 1], [222, 1]]",3,[],[],1,234,9216.0
276,unet_layer15,[143],"[202, 218, 234, 250]",288,12,8192,weight,,[143],"[202, 218, 234, 250]",202,"[[202, 3], [202, 1], [218, 3], [218, 1], [234, 3], [234, 1], [250, 1]]",3,[],[],1,276,288.0
278,unet_layer15,[255],"[202, 203]",288,5,8192,input,,[255],"[202, 203]",202,"[[202, 5], [202, 1], [203, 1]]",1,[],[],1,278,311.0
279,unet_layer15,[255],"[218, 219]",288,5,8192,input,,[255],"[218, 219]",218,"[[218, 5], [218, 1], [219, 1]]",1,[],[],1,279,333.0
280,unet_layer15,[255],"[234, 235]",288,5,8192,input,,[255],"[234, 235]",234,"[[234, 5], [234, 1], [235, 1]]",1,[],[],1,280,322.0
298,unet_layer16,[143],"[200, 216, 232, 248]",9216,21,64,weight,,[143],"[200, 216, 232, 248]",200,"[[200, 3], [200, 1], [216, 3], [216, 1], [232, 3], [232, 1], [248, 1]]",3,[],[],1,298,9216.0
300,unet_layer16,[251],"[200, 201]",9216,23,64,input,,[251],"[200, 201]",200,"[[200, 5], [200, 1], [201, 1]]",1,[65],[],1,300,9216.0
301,unet_layer16,[251],"[216, 217]",9216,23,64,input,,[251],"[216, 217]",216,"[[216, 5], [216, 1], [217, 1]]",1,[],[],1,301,9216.0
302,unet_layer16,[251],"[232, 233]",9216,23,64,input,,[251],"[232, 233]",232,"[[232, 5], [232, 1], [233, 1]]",1,[],[],1,302,9216.0
371,vgg16_layer2,[51],"[64, 65]",576,9,1024,input,,[51],"[64, 65]",64,"[[64, 5], [64, 1], [65, 1]]",1,[],[],1,371,576.0
372,vgg16_layer2,[51],"[66, 67]",576,9,1024,input,,[51],"[66, 67]",66,"[[66, 5], [66, 1], [67, 1]]",1,[],[],1,372,576.0
373,vgg16_layer2,[51],"[80, 81]",576,9,1024,input,,[51],"[80, 81]",80,"[[80, 5], [80, 1], [81, 1]]",1,"[151, 232]",[],1,373,576.0
374,vgg16_layer2,[51],"[82, 83]",576,9,1024,input,,[51],"[82, 83]",82,"[[82, 5], [82, 1], [83, 1]]",1,[],[],1,374,595.0
375,vgg16_layer2,[51],"[96, 97]",576,9,1024,input,,[51],"[96, 97]",96,"[[96, 5], [96, 1], [97, 1]]",1,[],[],1,375,586.0
376,vgg16_layer2,[51],"[98, 99]",576,9,1024,input,,[51],"[98, 99]",98,"[[98, 5], [98, 1], [99, 1]]",1,[],[],1,376,576.0
377,vgg16_layer2,[51],"[112, 113]",576,9,1024,input,,[51],"[112, 113]",112,"[[112, 5], [112, 1], [113, 1]]",1,[],[],1,377,576.0
411,vgg16_layer3,[248],"[68, 71, 86, 101]",6144,51,128,weight,,[248],"[68, 71, 86, 101]",68,"[[68, 3], [68, 5], [68, 1], [84, 3], [84, 5], [84, 1], [69, 5], [69, 1], [100, 5], [100, 1], [85, 5], [85, 1], [70, 5], [70, 1], [101, 5], [101, 1], [86, 5], [86, 1], [71, 1], [102, 5], [102, 1], [87, 1], [103, 1]]",5,[],[],1,411,6144.0
412,vgg16_layer3,[248],"[69, 84, 87, 102]",6144,51,128,weight,,[248],"[69, 84, 87, 102]",69,"[[69, 3], [69, 4], [69, 5], [69, 1], [85, 3], [85, 4], [85, 5], [85, 1], [68, 1], [70, 5], [70, 1], [101, 4], [101, 5], [101, 1], [84, 1], [86, 5], [86, 1], [71, 1], [100, 1], [102, 5], [102, 1], [87, 1], [103, 1]]",5,[],[],1,412,6231.0
413,vgg16_layer3,[248],"[70, 85, 100, 103]",6144,51,128,weight,,[248],"[70, 85, 100, 103]",70,"[[70, 3], [70, 4], [70, 5], [70, 1], [86, 3], [86, 4], [86, 5], [86, 1], [69, 4], [69, 1], [71, 1], [102, 4], [102, 5], [102, 1], [85, 4], [85, 1], [87, 1], [68, 1], [101, 4], [101, 1], [103, 1], [84, 1], [100, 1]]",5,[],[],1,413,6144.0
438,vgg16_layer4,[248],"[4, 36]",1152,21,1024,weight,,[248],"[4, 36]",4,"[[4, 3], [4, 1], [20, 3], [20, 1], [36, 1]]",2,[4],[],1,438,1152.0
439,vgg16_layer4,[248],"[5, 37]",1152,21,1024,weight,,[248],"[5, 37]",5,"[[5, 3], [5, 1], [21, 3], [21, 1], [37, 1]]",2,[249],[],1,439,1152.0
440,vgg16_layer4,[248],"[6, 38]",1152,21,1024,weight,,[248],"[6, 38]",6,"[[6, 3], [6, 1], [22, 3], [22, 1], [38, 1]]",2,[],[],1,440,1152.0
441,vgg16_layer4,[248],"[7, 39]",1152,21,1024,weight,,[248],"[7, 39]",7,"[[7, 3], [7, 1], [23, 3], [23, 1], [39, 1]]",2,[],[],1,441,1152.0
442,vgg16_layer4,[248],"[20, 52]",1152,21,1024,weight,,[248],"[20, 52]",20,"[[20, 3], [20, 1], [36, 3], [36, 1], [52, 1]]",2,[],[],1,442,1152.0
443,vgg16_layer4,[248],"[21, 53]",1152,21,1024,weight,,[248],"[21, 53]",21,"[[21, 3], [21, 1], [37, 3], [37, 1], [53, 1]]",2,[],[],1,443,1175.0
444,vgg16_layer4,[248],"[22, 54]",1152,21,1024,weight,,[248],"[22, 54]",22,"[[22, 3], [22, 1], [38, 3], [38, 1], [54, 1]]",2,[],[],1,444,1152.0
446,vgg16_layer4,[119],"[4, 5, 6, 7, 20, 21, 22, 23]",1152,9,1024,input,,[119],"[4, 5, 6, 7, 20, 21, 22, 23]",4,"[[4, 3], [4, 5], [4, 1], [20, 5], [20, 1], [5, 5], [5, 1], [21, 5], [21, 1], [6, 5], [6, 1], [22, 5], [22, 1], [7, 1], [23, 1]]",4,[],[],1,446,1152.0
