256	1.086180181	1.004968	1.998582883	1.436968143	1.529218604
512	1.045724909	1	1.21025	1	1.052428333
768	1.029859973	1	1	1	1
1024	1.027424711	1	1	1	1
1280	1	1	1	1	1
1536	1	1	1	1	1
1792	1	1	1	1	1
2048	1	1	1	1	1
