0 0 16
0 1 16
0 2 16
0 3 16
0 4 19
0 5 19
0 6 19
0 7 19
0 8 0
0 9 0
0 10 1
0 11 1
0 12 2
0 13 2
0 14 2
0 15 2
1 0 16
1 1 16
1 2 16
1 3 16
1 4 19
1 5 19
1 6 19
1 7 19
1 8 0
1 9 0
1 10 1
1 11 1
1 12 2
1 13 2
1 14 2
1 15 2
2 0 16
2 1 16
2 2 16
2 3 16
2 4 19
2 5 19
2 6 19
2 7 19
2 8 0
2 9 0
2 10 1
2 11 1
2 12 3
2 13 3
2 14 3
2 15 3
3 0 16
3 1 16
3 2 16
3 3 16
3 4 19
3 5 19
3 6 19
3 7 19
3 8 0
3 9 0
3 10 1
3 11 1
3 12 3
3 13 3
3 14 3
3 15 3
4 0 17
4 1 17
4 2 17
4 3 17
4 4 18
4 5 18
4 6 18
4 7 18
4 8 7
4 9 7
4 10 6
4 11 6
4 12 4
4 13 4
4 14 4
4 15 4
5 0 17
5 1 17
5 2 17
5 3 17
5 4 18
5 5 18
5 6 18
5 7 18
5 8 7
5 9 7
5 10 6
5 11 6
5 12 4
5 13 4
5 14 4
5 15 4
6 0 17
6 1 17
6 2 17
6 3 17
6 4 18
6 5 18
6 6 18
6 7 18
6 8 7
6 9 7
6 10 6
6 11 6
6 12 5
6 13 5
6 14 5
6 15 5
7 0 17
7 1 17
7 2 17
7 3 17
7 4 18
7 5 18
7 6 18
7 7 18
7 8 7
7 9 7
7 10 6
7 11 6
7 12 5
7 13 5
7 14 5
7 15 5
8 0 26
8 1 26
8 2 25
8 3 25
8 4 23
8 5 23
8 6 22
8 7 22
8 8 8
8 9 8
8 10 9
8 11 9
8 12 10
8 13 10
8 14 10
8 15 10
9 0 26
9 1 26
9 2 25
9 3 25
9 4 23
9 5 23
9 6 22
9 7 22
9 8 8
9 9 8
9 10 9
9 11 9
9 12 10
9 13 10
9 14 10
9 15 10
10 0 27
10 1 27
10 2 24
10 3 24
10 4 23
10 5 23
10 6 22
10 7 22
10 8 8
10 9 8
10 10 9
10 11 9
10 12 11
10 13 11
10 14 11
10 15 11
11 0 27
11 1 27
11 2 24
11 3 24
11 4 23
11 5 23
11 6 22
11 7 22
11 8 8
11 9 8
11 10 9
11 11 9
11 12 11
11 13 11
11 14 11
11 15 11
12 0 28
12 1 28
12 2 29
12 3 29
12 4 21
12 5 21
12 6 21
12 7 21
12 8 15
12 9 15
12 10 14
12 11 14
12 12 12
12 13 12
12 14 12
12 15 12
13 0 28
13 1 28
13 2 29
13 3 29
13 4 21
13 5 21
13 6 21
13 7 21
13 8 15
13 9 15
13 10 14
13 11 14
13 12 12
13 13 12
13 14 12
13 15 12
14 0 31
14 1 31
14 2 30
14 3 30
14 4 20
14 5 20
14 6 20
14 7 20
14 8 15
14 9 15
14 10 14
14 11 14
14 12 13
14 13 13
14 14 13
14 15 13
15 0 31
15 1 31
15 2 30
15 3 30
15 4 20
15 5 20
15 6 20
15 7 20
15 8 15
15 9 15
15 10 14
15 11 14
15 12 13
15 13 13
15 14 13
15 15 13
